ticker,contribution_pp,months_held,date_added_to_index
AVGO,3.039912245897785,10,2014-05-08
ANET,2.7729035126594206,10,2018-08-28
TSLA,2.167199587284932,9,2020-12-21
HWM,1.3867795580355158,6,2016-10-21
VST,1.3021151423949735,3,2024-05-08
ON,1.2439732883919414,4,2022-06-21
KEY,1.1075034563447657,1,1994-03-01
WDC,1.084349238019972,2,2009-07-01
GNRC,0.9660491462296664,7,2021-03-22
FICO,0.908020287066726,6,2023-03-20
RVTY,0.9055668307282785,2,1985-05-31
DOC,0.8345248606240141,6,2008-03-31
PWR,0.8152541157543054,1,2009-07-01
CF,0.8008414251088098,2,2008-08-27
MSCI,0.7815706524652607,2,2018-04-04
ZBRA,0.7599343119772095,3,2019-12-23
ADSK,0.7581016775231635,1,1989-12-01
TER,0.731649322728752,3,2020-09-21
F,0.6965513880907329,4,1957-03-04
GOOGL,0.6646743745872554,4,2006-04-03
NOW,0.6583146284857441,1,2019-11-21
GOOG,0.620450623003655,4,2014-04-03
NRG,0.6116186646005889,6,2010-01-29
DAL,0.6058672206633934,1,2013-09-11
CRM,0.6021340347298457,2,2008-09-15
RMD,0.6018060657821585,3,2017-07-26
EXR,0.5952095161475147,2,2016-01-19
NEE,0.5854314939379653,2,1976-06-30
WST,0.5290000618819021,4,2020-05-22
WYNN,0.5120035300935306,3,2008-11-14
LUV,0.4917657390404573,9,1994-07-01
CI,0.4815574037329676,1,1976-06-30
IFF,0.4813161978180277,1,1976-03-31
DVN,0.47425715604356267,2,2000-08-30
INTU,0.4670626351834284,1,2000-12-05
UPS,0.4490485432297693,3,2002-07-22
TRGP,0.4437737439071861,1,2022-10-12
GM,0.440082515327093,1,2013-06-06
ROK,0.43525022775687816,1,2000-03-12
DD,0.41908537561238984,1,2019-06-03
EW,0.39811920893355246,4,2011-04-01
TECH,0.39303364474328517,4,2021-08-30
CNC,0.39091622322745695,1,2016-03-30
HUBB,0.38437745427762976,1,2023-10-18
FTNT,0.3786147418836502,1,2018-10-11
BALL,0.3753092528254272,2,1984-10-31
QCOM,0.3676634053402032,1,1999-07-22
TSN,0.35010893937950355,4,2005-08-10
MOS,0.349959164647462,1,2011-09-26
GPC,0.3496080342954248,1,1973-12-31
DE,0.33779637334299933,1,1957-03-04
INCY,0.3277319754314715,10,2017-02-28
BSX,0.3163674840593185,3,1995-02-24
TFC,0.31521204719649437,1,1997-12-04
MPC,0.3090011193207713,2,2011-07-01
MKC,0.3079905737056447,2,2003-03-20
NVDA,0.3024149279812056,6,2001-11-30
FSLR,0.30035856800865024,5,2022-12-19
ADBE,0.2987534425342385,3,1997-05-05
PODD,0.29798997853517034,10,2023-03-15
EG,0.295925691036687,1,2017-06-19
INTC,0.2949780036252384,3,1976-12-31
TDY,0.29273822693396995,1,2020-06-22
DHI,0.29095792909378615,2,2005-06-22
PLD,0.27568134963651253,1,2003-07-17
AES,0.2721026091831628,5,1998-10-02
PHM,0.27061920266050327,6,1984-04-30
MCK,0.2693437827733088,2,1999-01-13
MMM,0.26019896167202317,3,1957-03-04
HII,0.25788147061131417,1,2018-01-03
HPQ,0.2544671344916227,1,1974-12-31
ACN,0.2493894167781896,1,2011-07-06
LYV,0.24893255161083502,2,2019-12-23
CVS,0.23784008625260608,1,1957-03-04
INVH,0.23237332391978674,2,2022-09-19
IVZ,0.22926063167457156,3,2008-08-21
LVS,0.22333045263022155,1,2019-10-03
IDXX,0.22124735068883022,3,2017-01-05
CRL,0.21451524742455216,4,2021-05-14
WAB,0.1746553844508791,4,2019-02-27
APTV,0.1721307201598828,3,2012-12-24
UDR,0.16661452648134567,1,2016-03-07
BKNG,0.16175914927684257,1,2009-11-06
SJM,0.1581093292378403,1,2008-11-06
MRK,0.1567519451283402,1,1957-03-04
BEN,0.14632523382883972,2,1998-04-30
APH,0.1421827184637792,6,2008-09-30
DPZ,0.14112348359141214,1,2020-05-12
FE,0.1384823573658752,1,1997-11-28
VTR,0.1342911875906161,1,2009-03-04
MGM,0.13289949039767768,1,2017-07-26
WBD,0.13258907222232852,6,2022-04-11
SNPS,0.11937363424777618,1,2017-03-16
JBL,0.11888334103405877,1,2023-12-18
PCAR,0.11589419533734864,4,1980-12-31
CVX,0.1147733244042304,2,1957-03-04
COST,0.11193705992713188,4,1993-10-01
KDP,0.10878134183361994,1,2022-06-21
C,0.1043726695617986,2,1988-05-31
XEL,0.10363140714173767,1,1957-03-04
EXC,0.10143787563181055,1,1957-03-04
TT,0.09962807135659854,3,2010-11-17
NI,0.09894759056024696,1,2000-11-02
VRSN,0.09519354502202686,1,2006-02-01
PSKY,0.09449674494666824,7,1994-09-30
HAS,0.09302321054942626,1,1984-09-30
AON,0.0919234819233572,1,1996-04-23
FANG,0.08449417894807651,1,2018-12-03
TDG,0.08140582576728525,2,2016-06-03
NTAP,0.07703800795827369,1,1999-06-25
FFIV,0.07380081294059057,1,2010-12-20
PAYX,0.07332133879000595,1,1998-10-01
