,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2023-06-30,MRNA,KEY,PSKY,WDC,TFC,ALB,CF,REGN,MU,FSLR,GIS,D,WBD,MKC,MMM,INCY,DOC,PFE,GOOGL,TSN,DVN,AMD,NDAQ,C,BIIB,QCOM,TGT,GOOG,MSCI,INTC
2023-07-31,MRNA,ALB,LYV,EW,SBAC,WTW,EBAY,EXR,CCI,PSKY,LHX,LUV,ANET,TDY,EFX,F,CMG,BAX,SPGI,IVZ,COR,HSY,MCK,PSA,RTX,GWW,ALLE,AXP,CBRE,BIIB
2023-08-31,DG,MRNA,PODD,RMD,DLTR,PSKY,CVS,DXCM,PCAR,TSN,COR,ALB,AXP,AMD,ADM,KEYS,NCLH,VTRS,LHX,HRL,MTB,ELV,ES,C,MCK,CNC,JKHY,CCI,RF,WFC
2023-09-29,MRNA,NEE,ALB,DG,PODD,PSKY,AES,GEN,FSLR,D,NEM,AMT,INVH,INCY,SBAC,MMM,DOC,ES,TGT,WBD,AXP,TSN,AWK,LUV,NI,COO,FE,GNRC,BF-B,EXC
2023-10-31,ON,MRNA,ALB,ALGN,RVTY,HAS,TSLA,F,PSKY,LUV,DOC,TECH,GNRC,PODD,WST,CVX,FSLR,TER,HUBB,EXR,BIIB,EW,MOS,INCY,CRL,UDR,INVH,DAL,UPS,WDC
2023-11-30,MRNA,ALB,HRL,LYV,CF,FOX,INCY,LVS,TSN,CI,WBD,EQT,AVGO,TSLA,BIIB,WYNN,FOXA,ON,MKC,FTNT,DVN,XOM,D,GNRC,SLB,CVX,HAL,DE,DOC,F
2023-12-29,FICO,PHM,NKE,LUV,PSKY,ANET,SNPS,NCLH,BA,CAH,PCAR,PODD,INCY,EG,HWM,WBD,LEN,ADM,MPC,UAL,AEE,AVGO,ALGN,PAYX,AON,BF-B,CBOE,WYNN,FDX,PYPL
2024-01-31,FICO,ROK,TSLA,PODD,PHM,UPS,ADM,DD,INCY,ALB,INTC,TER,ZBRA,HUM,MMM,FSLR,SBAC,BXP,ON,AES,DOC,PWR,DHI,MAA,BA,AMT,IVZ,ES,LUV,DG
2024-02-29,PODD,FICO,XEL,PSKY,AES,BIIB,PHM,INCY,ALGN,RMD,BA,IFF,HUM,NEE,BKNG,GPN,WBD,TSLA,PANW,VTR,SJM,DOC,UNH,SBAC,HSY,AWK,ADM,KDP,HPQ,PFE
2024-03-28,FICO,TSLA,PODD,INCY,BIIB,LULU,PHM,NKE,LUV,ON,BF-B,ZTS,TECH,UPS,ANET,BA,CCL,ADBE,CBOE,CAH,ULTA,CCI,SBAC,AMT,ALGN,HSY,DG,HUM,IBM,AVGO
2024-04-30,INTC,FICO,LUV,PCAR,ALGN,ODFL,PHM,SBAC,PSX,INCY,ULTA,WYNN,WBD,VRSN,PODD,DG,FFIV,BEN,PLD,ANET,IBM,BA,MSCI,ADM,IVZ,JBHT,HUM,MPC,BMY,DHI
2024-05-31,FICO,CRM,A,HRL,PHM,TSLA,PODD,KEYS,WAT,EL,INTU,ADBE,CBOE,LUV,CRL,GPN,CSGP,BA,TECH,AVGO,DG,ZBRA,ANET,ALB,ACN,NOW,INCY,PCAR,BIIB,ADSK
2024-06-28,NKE,NVDA,MRNA,SMCI,FSLR,VST,HWM,NRG,ALB,EL,GNRC,ALGN,MU,APH,AES,BALL,TECH,CMG,WAB,RMD,AVGO,JBL,APTV,DXCM,TT,TSLA,COST,RVTY,LULU,TDG
2024-07-31,DXCM,EW,SMCI,NVDA,F,VST,ALGN,NRG,MRNA,APH,LULU,MRK,BSX,BIIB,COST,CDNS,CCL,WST,MU,TSLA,ANET,MSFT,GNRC,WAB,HUM,LUV,PODD,AVGO,GOOG,GOOGL
2024-08-30,SMCI,DG,NVDA,MRNA,DXCM,DLTR,TSLA,HWM,VST,ANET,NTAP,NRG,ALGN,BIIB,MU,BEN,APH,AVGO,DPZ,CRL,LULU,GNRC,CDNS,COST,ZBRA,GOOG,GOOGL,IDXX,CRM,EL
2024-09-30,SMCI,MRNA,DXCM,NVDA,DELL,BIIB,WST,COST,REGN,APH,ALGN,HWM,TRGP,EW,BSX,DLTR,GM,CMG,MAA,ANET,NRG,PFE,TGT,ADBE,FANG,AVGO,DG,CRL,WAB,ARE
2024-10-31,SMCI,EL,HII,NVDA,APTV,MRNA,DELL,DXCM,BIIB,REGN,IDXX,CDW,NEM,ALGN,HWM,MPWR,BALL,BF-B,TER,TT,CMG,ANET,AVGO,SWKS,NRG,GPC,APH,MU,ELV,MGM
2024-11-29,DELL,SMCI,MRNA,NVDA,BIIB,TGT,AVGO,DXCM,APH,WAB,MPWR,ALGN,GNRC,AES,ANET,GOOG,MU,GOOGL,NRG,TDG,CDW,IDXX,APTV,WST,HWM,BSX,AMD,ALB,TT,COP
