portfolio,cost_bps,total_return,annual_return,annual_vol,sharpe,max_drawdown,avg_turnover
LSTM top 30,0,0.22472434308418765,0.1447014512571998,0.18074778599715485,0.6899196610859881,-0.13543358886713242,1.313693376621088
LSTM top 30,5,0.21030418119313765,0.13569842217932937,0.18084146595542616,0.6397781701672709,-0.13674732965791747,1.313693376621088
LSTM top 30,20,0.16799723658595833,0.10907575165961303,0.1812938514704807,0.49133355012934266,-0.14068256105447774,1.313693376621088
Momentum 12-1 top 30,0,0.34198646095007335,0.2166493344798852,0.2008416729829755,0.9791261522530453,-0.17507352034730406,0.6653452320970344
Momentum 12-1 top 30,20,0.31005850895568954,0.19727467093116746,0.2013100740259921,0.8806050655382437,-0.17817168942675965,0.6653452320970344
Highest 60-day vol top 30,0,0.05373371717228159,0.03550909529619939,0.22712408799155695,0.06828467835950504,-0.20611357076938208,0.6025414631413585
Biggest 60-day losers top 30,0,0.10011830223222584,0.06567863729009771,0.17409809170684365,0.26237299238761336,-0.18704841225235413,1.0917890658809988
Equal-weight universe,0,0.23523564422247856,0.15124178320222104,0.11676219708276976,1.1240091954520783,-0.12196402985190424,0.10401956956335325
Equal-weight universe,5,0.23408067328945892,0.1505240480357306,0.11676106213281236,1.1178730790172433,-0.12202334693794292,0.10401956956335325
Thematic 30,0,0.43077710858071305,0.2697395738639088,0.1452597668877249,1.719261838392864,-0.09943863615672732,0.10252700431788528
SPY,0,0.34927535017153977,0.22105077673969942,0.12226680897504028,1.6443610365323449,-0.09974324386754863,0.0
